nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
800252958,2020-12-31,4788002.0,,,,,No,2020,SIREM - Supersociedades,COL
800252997,2019-12-31,8361604.0,,,,,No,2019,SIREM - Supersociedades,COL
800253066,2016-12-31,,4012827.0,2239925.0,Pequeña,0.5581912701444642,No,2016,SIREM - Supersociedades,COL
800253103,2016-12-31,,8846071.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
800253142,2016-12-31,-251524.0,,,,,Sí,2016,SIREM - Supersociedades,COL
800253207,2019-12-31,,5017587.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
800253207,2021-12-31,,7497085.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
800253209,2016-12-31,,,2328857.0,,,No,2016,SIREM - Supersociedades,COL
800253307,2021-12-31,16024470.0,,,,,No,2021,SIREM - Supersociedades,COL
800253444,2020-12-31,,,2095653.0,,,No,2020,SIREM - Supersociedades,COL
800253467,2016-12-31,,,2091449.0,,,No,2016,SIREM - Supersociedades,COL
800253479,2016-12-31,36992496.0,54056502.0,,Grande,,No,2016,SIREM - Supersociedades,COL
800253479,2020-12-31,,19578622.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
800253534,2018-12-31,5412618.0,9212156.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
800253534,2021-12-31,,,3858483.0,,,No,2021,SIREM - Supersociedades,COL
800253667,2018-12-31,,,9799786.0,,,No,2018,SIREM - Supersociedades,COL
800254012,2016-12-31,5335305.0,,,,,No,2016,SIREM - Supersociedades,COL
800254210,2020-12-31,,,2575128.0,,,No,2020,SIREM - Supersociedades,COL
800254270,2016-12-31,,,9546137.0,,,No,2016,SIREM - Supersociedades,COL
800254476,2018-12-31,5918125.0,,,,,No,2018,SIREM - Supersociedades,COL
800254539,2020-12-31,,,275613.0,,,No,2020,SIREM - Supersociedades,COL
800254809,2016-12-31,1290737.0,2140771.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
